"Estimate","Std. Error","z value","Pr(>|z|)","Feature"
0,0.0261,0,1,"(Intercept)"
0.0431,0.0461,0.936,0.3493,"d_roll_ace_rate"
-0.0236,0.0317,-0.7434,0.4572,"d_roll_df_rate"
0.0295,0.0293,1.0059,0.3144,"d_roll_first_in_pct"
0.0812,0.054,1.5029,0.1329,"d_roll_first_won_pct"
-0.0099,0.039,-0.2546,0.7991,"d_roll_second_won_pct"
0.0064,0.0311,0.2046,0.8379,"d_roll_winners_fh_rate"
-0.0437,0.0274,-1.5952,0.1107,"d_roll_winners_bh_rate"
-0.0278,0.0319,-0.8709,0.3838,"d_roll_bp_save_rate"
1.2142,0.0328,37.0508,0,"d_win_rate"
